method,n,p,k,alpha,beta_star,dat_type,hp_eta,hp_lbd,loop_time,DR,PCD,RMSE_mean,Runtime_mean,wall_time,hp_lbd_para
onlineFSA,500,1000,100,1,1.0,1,0.01,0.0,5,0,0.9259999999999999,3.3223766738569864,2.4328384254000004,0.5227248668670654,
onlineFSA,500,1000,100,1,0.1,1,0.01,0.0,5,0,0.532,1.3843576919126135,2.431916176599999,0.5271708965301514,
onlineFSA,500,1000,100,1,0.01,1,0.01,0.0,5,0,0.12000000000000002,1.2451905129307692,2.4552929993999997,0.5178444385528564,
onlineFSA,1000,1000,100,1,1.0,1,0.01,0.0,5,5,1.0,1.0559255665421352,2.456043865599999,0.6113860607147217,
onlineFSA,1000,1000,100,1,0.1,1,0.01,0.0,5,0,0.77,1.212297481210324,2.4567625931999943,0.613182783126831,
onlineFSA,1000,1000,100,1,0.01,1,0.01,0.0,5,0,0.118,1.1810551465823698,2.4568070719999953,0.603952169418335,
onlineFSA,5000,1000,100,1,1.0,1,0.01,0.0,5,5,1.0,1.0034409802412763,5.156679056599989,1.731877088546753,
onlineFSA,5000,1000,100,1,0.1,1,0.01,0.0,5,5,1.0,1.0034409802412616,3.7578202707999937,1.4001271724700928,
onlineFSA,5000,1000,100,1,0.01,1,0.01,0.0,5,0,0.22999999999999998,1.0325044212307044,3.7130363661999923,1.430330514907837,
onlineFSA,10000,1000,100,1,1.0,1,0.01,0.0,5,5,1.0,1.0110183787695994,5.789451944200005,2.450740098953247,
onlineFSA,10000,1000,100,1,0.1,1,0.01,0.0,5,5,1.0,1.0110183787696068,3.737183659599998,2.031174421310425,
onlineFSA,10000,1000,100,1,0.01,1,0.01,0.0,5,0,0.346,1.0144853007024608,3.786099462000004,2.044961452484131,
onlineFSA,50000,1000,100,1,1.0,1,0.01,0.0,5,5,1.0,0.9887314183756232,3.7362468444000227,7.100634336471558,
onlineFSA,50000,1000,100,1,0.1,1,0.01,0.0,5,5,1.0,0.9887314183756264,3.7135467221999763,7.0121941566467285,
onlineFSA,50000,1000,100,1,0.01,1,0.01,0.0,5,0,0.684,0.9916142850640719,3.7612838688000236,6.999030351638794,
Lasso,500,1000,100,1,1.0,1,,,5,0,0.274,12.782219796336909,30.334555551800076,5.634436845779419,"{'start': -10, 'end': 10}"
Lasso,500,1000,100,1,0.1,1,,,5,0,0.28200000000000003,1.6214261668188061,21.855628866000053,4.1120569705963135,"{'start': -10, 'end': 10}"
Lasso,500,1000,100,1,0.01,1,,,5,0,0.13599999999999998,1.2222987095058495,32.13864880820002,5.893954038619995,"{'start': -10, 'end': 10}"
Lasso,1000,1000,100,1,1.0,1,,,5,0,0.326,11.70207995213587,36.42021065480003,13.815056800842285,"{'start': -10, 'end': 10}"
Lasso,1000,1000,100,1,0.1,1,,,5,0,0.306,1.5655558885860812,29.407239210599982,10.536895751953125,"{'start': -10, 'end': 10}"
Lasso,1000,1000,100,1,0.01,1,,,5,0,0.14800000000000002,1.1321891274199332,38.96677881200003,11.003658533096313,"{'start': -10, 'end': 10}"
Lasso,5000,1000,100,1,1.0,1,,,5,0,0.5279999999999999,8.54858244924532,42.68853391820003,42.302462577819824,"{'start': -10, 'end': 10}"
Lasso,5000,1000,100,1,0.1,1,,,5,0,0.538,1.282912504139409,57.71527653819985,62.390939235687256,"{'start': -10, 'end': 10}"
Lasso,5000,1000,100,1,0.01,1,,,5,0,0.246,1.023542267530662,47.81131495159998,43.053112268447876,"{'start': -10, 'end': 10}"
Lasso,10000,1000,100,1,1.0,1,,,5,0,0.724,6.153729423896108,83.32245053820006,131.02657341957092,"{'start': -10, 'end': 10}"
Lasso,10000,1000,100,1,0.1,1,,,5,0,0.702,1.184936534343708,83.57014493459992,126.17207074165344,"{'start': -10, 'end': 10}"
Lasso,10000,1000,100,1,0.01,1,,,5,0,0.34,1.0095877628507302,77.98551148959977,94.36688733100891,"{'start': -10, 'end': 10}"
Lasso,50000,1000,100,1,1.0,1,,,5,3,0.994,1.2642420751873584,2925.2566846684003,477.72869420051575,"{'start': -10, 'end': 10}"
Lasso,50000,1000,100,1,0.1,1,,,5,3,0.994,1.0144530487542498,3589.8165033318,585.453458070755,"{'start': -10, 'end': 10}"
Lasso,50000,1000,100,1,0.01,1,,,5,0,0.6279999999999999,1.0151756173051363,8568.069028951999,1388.2707734107971,"{'start': -10, 'end': 10}"
