method,n,p,k,alpha,beta_star,dat_type,loop_time,DR_mean,DR_std,PCD_mean,PCD_std,RMSE_mean,RMSE_std,Runtime_mean,Runtime_std,eta,lbd
offlineFSA,500,1000,100,1,1.0,1,5,0.0,0.0,0.9259999999999999,0.028809720581775833,3.3223766738569864,0.6774143020982281,2.4830267968,0.0675079851687575,0.01,0.0
offlineFSA,500,1000,100,1,0.1,1,5,0.0,0.0,0.532,0.03898717737923585,1.3843576919126135,0.06833418376557487,2.5520859097999997,0.20517326854725929,0.01,0.0
offlineFSA,500,1000,100,1,0.01,1,5,0.0,0.0,0.12000000000000002,0.035355339059327376,1.2451905129307692,0.06327565447012745,2.4580659213999994,0.055650710667085455,0.01,0.0
offlineFSA,1000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,1.0559255665421352,0.03560221946589218,2.4568795593999995,0.054878949286320935,0.01,0.0
offlineFSA,1000,1000,100,1,0.1,1,5,0.0,0.0,0.77,0.053385391260156574,1.212297481210324,0.05539554536344184,2.456986471999997,0.05455492411580874,0.01,0.0
offlineFSA,1000,1000,100,1,0.01,1,5,0.0,0.0,0.118,0.017888543819998323,1.1810551465823698,0.03193107289658421,2.4576273545999983,0.05444764636193859,0.01,0.0
offlineFSA,5000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,1.0085990264771172,0.011254961145989284,2.433451348799994,0.002023954766615498,0.01,0.0
offlineFSA,5000,1000,100,1,0.1,1,5,0.8,0.44721359549995804,0.998,0.004472135954999583,1.0096469124446714,0.013111504327815672,2.528935964799996,0.2147517847296903,0.01,0.0
offlineFSA,5000,1000,100,1,0.01,1,5,0.0,0.0,0.22600000000000003,0.05856620185738528,1.03154130081921,0.020826551734025193,2.455586958599997,0.05561636841810322,0.01,0.0
offlineFSA,10000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,1.0123309581296793,0.016364772718801518,2.4557887162000043,0.05461845063835063,0.01,0.0
offlineFSA,10000,1000,100,1,0.1,1,5,1.0,0.0,1.0,0.0,1.0123309581297,0.016364772718778165,2.4315948147999906,0.0007306606331506303,0.01,0.0
offlineFSA,10000,1000,100,1,0.01,1,5,0.0,0.0,0.344,0.020736441353327712,1.0118177950794085,0.017965546812492048,6.005645997599993,6.65803288527112,0.01,0.0
offlineFSA,50000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,0.9879515711245996,0.023988774172448754,3.7370929578000185,0.05566666149159882,0.01,0.0
offlineFSA,50000,1000,100,1,0.1,1,5,1.0,0.0,1.0,0.0,0.9879515711246329,0.023988774172542273,3.737871333400028,0.05439032340121299,0.01,0.0
offlineFSA,50000,1000,100,1,0.01,1,5,0.0,0.0,0.686,0.020736441353327684,0.9898965846360429,0.023609123691731345,3.7142907006000088,0.002389529087524042,0.01,0.0
offlineFSA,100000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,1.0109739193111345,0.018167316729770313,3.737010368999995,0.053074028803546995,0.01,0.0
offlineFSA,100000,1000,100,1,0.1,1,5,1.0,0.0,1.0,0.0,1.0109739193111613,0.018167316729819007,3.7613612934000002,0.06656340384587744,0.01,0.0
offlineFSA,100000,1000,100,1,0.01,1,5,0.0,0.0,0.866,0.015165750888103114,1.011719102261598,0.017944538713289927,3.7369366072000276,0.055156874661784136,0.01,0.0
