method,n,p,k,alpha,beta_star,dat_type,loop_time,DR_mean,DR_std,PCD_mean,PCD_std,RMSE_mean,RMSE_std,Runtime_mean,Runtime_std,lbd_start,lbd_end
offlineLasso,500,1000,100,1,1.0,1,5,0.0,0.0,0.274,0.029664793948382655,12.782219796336909,0.4682749464711657,30.339959291800028,10.136115117338004,-10,10
offlineLasso,500,1000,100,1,0.1,1,5,0.0,0.0,0.28200000000000003,0.04207136793592526,1.6214261668188061,0.0616290666846743,21.87510257880001,6.291844114138963,-10,10
offlineLasso,500,1000,100,1,0.01,1,5,0.0,0.0,0.13599999999999998,0.03361547262794322,1.2222987095058495,0.019502871321177895,32.15992170059999,8.280906838529573,-10,10
offlineLasso,1000,1000,100,1,1.0,1,5,0.0,0.0,0.326,0.02966479394838266,11.70207995213587,0.4481323582198054,36.50870504220002,8.46917174060472,-10,10
offlineLasso,1000,1000,100,1,0.1,1,5,0.0,0.0,0.306,0.03781534080237807,1.5655558885860812,0.07396140453306317,29.74647292220002,6.225098153875187,-10,10
offlineLasso,1000,1000,100,1,0.01,1,5,0.0,0.0,0.14800000000000002,0.014832396974191328,1.1321891274199332,0.03228781363013829,41.086659857399944,9.291846661508558,-10,10
offlineLasso,5000,1000,100,1,1.0,1,5,0.0,0.0,0.5279999999999999,0.037682887362833574,8.54858244924532,0.42150064646856794,55.902339671999925,10.268249784337158,-10,10
offlineLasso,5000,1000,100,1,0.1,1,5,0.0,0.0,0.538,0.03834057902536162,1.282912504139409,0.02816458794916703,76.87585720819997,8.259215110777612,-10,10
offlineLasso,5000,1000,100,1,0.01,1,5,0.0,0.0,0.246,0.0687749954561976,1.023542267530662,0.009682559096645112,62.06093359839997,16.66779150648104,-10,10
offlineLasso,10000,1000,100,1,1.0,1,5,0.0,0.0,0.724,0.06268971207462994,6.153729423896108,0.9501575882500253,138.35182213060017,25.5910015004586,-10,10
offlineLasso,10000,1000,100,1,0.1,1,5,0.0,0.0,0.702,0.04764451699828637,1.184936534343708,0.029306264679410894,136.85420238559982,17.95151206930532,-10,10
offlineLasso,10000,1000,100,1,0.01,1,5,0.0,0.0,0.34,0.047958315233127186,1.0095877628507302,0.02399208663392869,119.05694224939998,14.410614787424775,-10,10
offlineLasso,50000,1000,100,1,1.0,1,5,0.6,0.5477225575051662,0.994,0.008944271909999166,1.2642420751873584,0.3785867561247801,4670.6937489254,3056.2920019674643,-10,10
offlineLasso,50000,1000,100,1,0.1,1,5,0.6,0.5477225575051662,0.994,0.008944271909999166,1.0144530487542498,0.02297942861614696,5797.039925691999,3275.2101755824206,-10,10
offlineLasso,50000,1000,100,1,0.01,1,5,0.0,0.0,0.6279999999999999,0.02280350850198278,1.0151756173051363,0.021015423545904834,7439.575501652604,3213.0864732883065,-10,10
offlineLasso,100000,1000,100,1,1.0,1,5,1.0,0.0,1.0,0.0,1.007837148038956,0.01157438864889461,2701.220399246001,5.995669841357552,-10,10
offlineLasso,100000,1000,100,1,0.1,1,5,1.0,0.0,1.0,0.0,1.0071014575349286,0.012052524408867468,4053.6590690162,36.06356873997824,-10,10
offlineLasso,100000,1000,100,1,0.01,1,5,0.0,0.0,0.8380000000000001,0.019235384061671364,0.9950242723307952,0.02159765831399302,9331.618501441397,2294.672443156942,-10,10
